city,area,road,dd_lat,dd_long,dms_lat,dms_long
New Taipei City,,,25.001812,121.487941,"25°00'06.52""N","121°29'16.59""E"
New Taipei City,,,25.001441,121.487956,"25°00'05.19""N","121°29'16.64""E"
New Taipei City,,,25.001423,121.487957,"25°00'05.12""N","121°29'16.65""E"
New Taipei City,,,25.22126,121.635482,"25°13'16.54""N","121°38'07.74""E"
New Taipei City,,,24.939908,121.713117,"24°56'23.67""N","121°42'47.22""E"
New Taipei City,,,24.991534,121.658609,"24°59'29.52""N","121°39'30.99""E"
New Taipei City,,,24.946707,121.384665,"24°56'48.15""N","121°23'04.79""E"
New Taipei City,,,24.932584,121.371528,"24°55'57.30""N","121°22'17.50""E"
New Taipei City,,,24.932482,121.368001,"24°55'56.94""N","121°22'04.80""E"
New Taipei City,,,24.921245,121.369151,"24°55'16.48""N","121°22'08.94""E"
New Taipei City,,,24.933331,121.378427,"24°55'59.99""N","121°22'42.34""E"
New Taipei City,,,25.186737,121.435886,"25°11'12.25""N","121°26'09.19""E"
New Taipei City,,,25.195534,121.438036,"25°11'43.92""N","121°26'16.93""E"
New Taipei City,,,25.18991,121.443238,"25°11'23.68""N","121°26'35.66""E"
New Taipei City,,,25.195517,121.426203,"25°11'43.86""N","121°25'34.33""E"
New Taipei City,,,25.191832,121.434846,"25°11'30.60""N","121°26'05.45""E"
New Taipei City,,,25.186239,121.420213,"25°11'10.46""N","121°25'12.77""E"
New Taipei City,,,25.195928,121.430176,"25°11'45.34""N","121°25'48.63""E"
New Taipei City,,,25.20305,121.430209,"25°12'10.98""N","121°25'48.75""E"
New Taipei City,,,25.177364,121.424492,"25°10'38.51""N","121°25'28.17""E"
New Taipei City,,,25.074314,121.381569,"25°04'27.53""N","121°22'53.65""E"
New Taipei City,,,25.066175,121.358533,"25°03'58.23""N","121°21'30.72""E"
New Taipei City,,,25.077012,121.381666,"25°04'37.24""N","121°22'54.00""E"
New Taipei City,,,25.076702,121.394939,"25°04'36.13""N","121°23'41.78""E"
New Taipei City,,,25.222694,121.636616,"25°13'21.70""N","121°38'11.82""E"
New Taipei City,,,24.935036,121.705741,"24°56'06.13""N","121°42'20.67""E"
New Taipei City,,,25.00131,121.608672,"25°00'04.72""N","121°36'31.22""E"
